"Group","Time","Trial","Treatment","Advanced_ER-","Advanced_ER+","Early_ER-","Early_ER+","Total","Note"
"Control",5,"withER","Chemo",0,NA,0,NA,0,"Numbers reflect population size of 100000 women"
"Control",5,"withER","None",177.57,0,31.49,0,209.06,""
"Control",5,"withER","Tamoxifen",0,75.69,0,13.23,88.92,""
"Control",5,"withERchemo","Chemo",177.57,NA,31.49,NA,209.06,""
"Control",5,"withERchemo","None",0,0,0,0,0,""
"Control",5,"withERchemo","Tamoxifen",0,75.69,0,13.23,88.92,""
"Control",5,"withoutER","Chemo",0,NA,0,NA,0,""
"Control",5,"withoutER","None",142.22,60.87,25.13,10.69,238.91,""
"Control",5,"withoutER","Tamoxifen",35.35,14.82,6.36,2.54,59.07,""
"Control",10,"withER","Chemo",0,NA,0,NA,0,""
"Control",10,"withER","None",415.28,0,73.17,0,488.45,""
"Control",10,"withER","Tamoxifen",0,176.23,0,30.76,206.99,""
"Control",10,"withERchemo","Chemo",415.28,NA,73.17,NA,488.45,""
"Control",10,"withERchemo","None",0,0,0,0,0,""
"Control",10,"withERchemo","Tamoxifen",0,176.23,0,30.76,206.99,""
"Control",10,"withoutER","Chemo",0,NA,0,NA,0,""
"Control",10,"withoutER","None",333.36,141.09,58.15,24.85,557.45,""
"Control",10,"withoutER","Tamoxifen",81.92,35.14,15.02,5.91,137.99,""
"Screen",5,"withER","Chemo",0,NA,0,NA,0,""
"Screen",5,"withER","None",126.4,0,82.66,0,209.06,""
"Screen",5,"withER","Tamoxifen",0,53.82,0,35.1,88.92,""
"Screen",5,"withERchemo","Chemo",126.4,NA,82.66,NA,209.06,""
"Screen",5,"withERchemo","None",0,0,0,0,0,""
"Screen",5,"withERchemo","Tamoxifen",0,53.82,0,35.1,88.92,""
"Screen",5,"withoutER","Chemo",0,NA,0,NA,0,""
"Screen",5,"withoutER","None",100.83,43.25,66.32,28.22,238.62,""
"Screen",5,"withoutER","Tamoxifen",25.57,10.57,16.34,6.88,59.36,""
"Screen",10,"withER","Chemo",0,NA,0,NA,0,""
"Screen",10,"withER","None",292.57,0,195.88,0,488.45,""
"Screen",10,"withER","Tamoxifen",0,124.7,0,82.29,206.99,""
"Screen",10,"withERchemo","Chemo",292.57,NA,195.88,NA,488.45,""
"Screen",10,"withERchemo","None",0,0,0,0,0,""
"Screen",10,"withERchemo","Tamoxifen",0,124.7,0,82.29,206.99,""
"Screen",10,"withoutER","Chemo",0,NA,0,NA,0,""
"Screen",10,"withoutER","None",234.13,100.14,157.26,66.25,557.78,""
"Screen",10,"withoutER","Tamoxifen",58.44,24.56,38.62,16.04,137.66,""
