"Group","Time","Trial","Treatment","Advanced_ER-","Advanced_ER+","Early_ER-","Early_ER+","Total","Note"
"Control",5,"withER","Chemo",0,NA,0,NA,0,"Numbers reflect population size of 100000 women"
"Control",5,"withER","None",126.16,0,22.44,0,148.6,""
"Control",5,"withER","Tam+Chemo",NA,0,NA,NA,0,""
"Control",5,"withER","Tamoxifen",0,126.54,0,22.84,149.38,""
"Control",5,"withERchemo","Chemo",126.16,NA,22.44,NA,148.6,""
"Control",5,"withERchemo","None",0,0,0,0,0,""
"Control",5,"withERchemo","Tam+Chemo",NA,0,NA,NA,0,""
"Control",5,"withERchemo","Tamoxifen",0,126.54,0,22.84,149.38,""
"Control",5,"withERchemoERpos","Chemo",126.16,NA,22.44,NA,148.6,""
"Control",5,"withERchemoERpos","None",0,0,0,0,0,""
"Control",5,"withERchemoERpos","Tam+Chemo",NA,126.54,NA,NA,126.54,""
"Control",5,"withERchemoERpos","Tamoxifen",0,0,0,22.84,22.84,""
"Control",5,"withoutER","Chemo",0,NA,0,NA,0,""
"Control",5,"withoutER","None",101.06,102.27,17.88,18.13,239.34,""
"Control",5,"withoutER","Tam+Chemo",NA,0,NA,NA,0,""
"Control",5,"withoutER","Tamoxifen",25.1,24.27,4.56,4.71,58.64,""
"Control",10,"withER","Chemo",0,NA,0,NA,0,""
"Control",10,"withER","None",296.08,0,51.83,0,347.91,""
"Control",10,"withER","Tam+Chemo",NA,0,NA,NA,0,""
"Control",10,"withER","Tamoxifen",0,295.94,0,51.59,347.53,""
"Control",10,"withERchemo","Chemo",296.08,NA,51.83,NA,347.91,""
"Control",10,"withERchemo","None",0,0,0,0,0,""
"Control",10,"withERchemo","Tam+Chemo",NA,0,NA,NA,0,""
"Control",10,"withERchemo","Tamoxifen",0,295.94,0,51.59,347.53,""
"Control",10,"withERchemoERpos","Chemo",296.08,NA,51.83,NA,347.91,""
"Control",10,"withERchemoERpos","None",0,0,0,0,0,""
"Control",10,"withERchemoERpos","Tam+Chemo",NA,295.94,NA,NA,295.94,""
"Control",10,"withERchemoERpos","Tamoxifen",0,0,0,51.59,51.59,""
"Control",10,"withoutER","Chemo",0,NA,0,NA,0,""
"Control",10,"withoutER","None",236.7,237.81,41.27,41.26,557.04,""
"Control",10,"withoutER","Tam+Chemo",NA,0,NA,NA,0,""
"Control",10,"withoutER","Tamoxifen",59.38,58.13,10.56,10.33,138.4,""
"Screen",5,"withER","Chemo",0,NA,0,NA,0,""
"Screen",5,"withER","None",50.88,0,97.72,0,148.6,""
"Screen",5,"withER","Tam+Chemo",NA,0,NA,NA,0,""
"Screen",5,"withER","Tamoxifen",0,51.4,0,97.98,149.38,""
"Screen",5,"withERchemo","Chemo",50.88,NA,97.72,NA,148.6,""
"Screen",5,"withERchemo","None",0,0,0,0,0,""
"Screen",5,"withERchemo","Tam+Chemo",NA,0,NA,NA,0,""
"Screen",5,"withERchemo","Tamoxifen",0,51.4,0,97.98,149.38,""
"Screen",5,"withERchemoERpos","Chemo",50.88,NA,97.72,NA,148.6,""
"Screen",5,"withERchemoERpos","None",0,0,0,0,0,""
"Screen",5,"withERchemoERpos","Tam+Chemo",NA,51.4,NA,NA,51.4,""
"Screen",5,"withERchemoERpos","Tamoxifen",0,0,0,97.98,97.98,""
"Screen",5,"withoutER","Chemo",0,NA,0,NA,0,""
"Screen",5,"withoutER","None",41.06,41.56,78.39,78.76,239.77,""
"Screen",5,"withoutER","Tam+Chemo",NA,0,NA,NA,0,""
"Screen",5,"withoutER","Tamoxifen",9.82,9.84,19.33,19.22,58.21,""
"Screen",10,"withER","Chemo",0,NA,0,NA,0,""
"Screen",10,"withER","None",121.11,0,226.8,0,347.91,""
"Screen",10,"withER","Tam+Chemo",NA,0,NA,NA,0,""
"Screen",10,"withER","Tamoxifen",0,120.82,0,226.71,347.53,""
"Screen",10,"withERchemo","Chemo",121.11,NA,226.8,NA,347.91,""
"Screen",10,"withERchemo","None",0,0,0,0,0,""
"Screen",10,"withERchemo","Tam+Chemo",NA,0,NA,NA,0,""
"Screen",10,"withERchemo","Tamoxifen",0,120.82,0,226.71,347.53,""
"Screen",10,"withERchemoERpos","Chemo",121.11,NA,226.8,NA,347.91,""
"Screen",10,"withERchemoERpos","None",0,0,0,0,0,""
"Screen",10,"withERchemoERpos","Tam+Chemo",NA,120.82,NA,NA,120.82,""
"Screen",10,"withERchemoERpos","Tamoxifen",0,0,0,226.71,226.71,""
"Screen",10,"withoutER","Chemo",0,NA,0,NA,0,""
"Screen",10,"withoutER","None",97.04,97.05,181.54,182.27,557.9,""
"Screen",10,"withoutER","Tam+Chemo",NA,0,NA,NA,0,""
"Screen",10,"withoutER","Tamoxifen",24.07,23.77,45.26,44.44,137.54,""
