"Group","Time","Trial","Treatment","Advanced_ER-","Advanced_ER+","Early_ER-","Early_ER+","Total","Note"
"Control",5,"withER","Chemo",0,NA,0,NA,0,"Numbers reflect population size of 100000 women"
"Control",5,"withER","None",177.57,0,31.49,0,209.06,""
"Control",5,"withER","Tamoxifen",0,75.69,0,13.23,88.92,""
"Control",5,"withERchemo","Chemo",177.57,NA,31.49,NA,209.06,""
"Control",5,"withERchemo","None",0,0,0,0,0,""
"Control",5,"withERchemo","Tamoxifen",0,75.69,0,13.23,88.92,""
"Control",5,"withoutER","Chemo",0,NA,0,NA,0,""
"Control",5,"withoutER","None",142.22,60.87,25.13,10.69,238.91,""
"Control",5,"withoutER","Tamoxifen",35.35,14.82,6.36,2.54,59.07,""
"Control",10,"withER","Chemo",0,NA,0,NA,0,""
"Control",10,"withER","None",415.28,0,73.17,0,488.45,""
"Control",10,"withER","Tamoxifen",0,176.23,0,30.76,206.99,""
"Control",10,"withERchemo","Chemo",415.28,NA,73.17,NA,488.45,""
"Control",10,"withERchemo","None",0,0,0,0,0,""
"Control",10,"withERchemo","Tamoxifen",0,176.23,0,30.76,206.99,""
"Control",10,"withoutER","Chemo",0,NA,0,NA,0,""
"Control",10,"withoutER","None",333.36,141.09,58.15,24.85,557.45,""
"Control",10,"withoutER","Tamoxifen",81.92,35.14,15.02,5.91,137.99,""
"Screen",5,"withER","Chemo",0,NA,0,NA,0,""
"Screen",5,"withER","None",72.28,0,136.78,0,209.06,""
"Screen",5,"withER","Tamoxifen",0,30.25,0,58.67,88.92,""
"Screen",5,"withERchemo","Chemo",72.28,NA,136.78,NA,209.06,""
"Screen",5,"withERchemo","None",0,0,0,0,0,""
"Screen",5,"withERchemo","Tamoxifen",0,30.25,0,58.67,88.92,""
"Screen",5,"withoutER","Chemo",0,NA,0,NA,0,""
"Screen",5,"withoutER","None",58.2,24.38,109.75,47.62,239.95,""
"Screen",5,"withoutER","Tamoxifen",14.08,5.87,27.03,11.05,58.03,""
"Screen",10,"withER","Chemo",0,NA,0,NA,0,""
"Screen",10,"withER","None",171.76,0,316.69,0,488.45,""
"Screen",10,"withER","Tamoxifen",0,72.49,0,134.5,206.99,""
"Screen",10,"withERchemo","Chemo",171.76,NA,316.69,NA,488.45,""
"Screen",10,"withERchemo","None",0,0,0,0,0,""
"Screen",10,"withERchemo","Tamoxifen",0,72.49,0,134.5,206.99,""
"Screen",10,"withoutER","Chemo",0,NA,0,NA,0,""
"Screen",10,"withoutER","None",138.49,57.77,253.33,108.38,557.97,""
"Screen",10,"withoutER","Tamoxifen",33.27,14.72,63.36,26.12,137.47,""
