"Follow-up","Measure","SubMeasure","withoutER","withER","withERchemo","Note"
"5","Cumulative breast cancer mortality","","","","","Note: Results per 1e+05 women"
"","","No screening","91 (77,105)","86 (74,101)","74 (62, 90)","Note: Results per 1e+05 women"
"","","Screening","55 (43,66)","51 (41,63)","44 (34,56)","Note: Results per 1e+05 women"
"","MRRs within trials","","0.60 (0.51,0.69)","0.60 (0.51,0.69)","0.59 (0.51,0.69)","Note: Results per 1e+05 women"
"","MRRs across trials","","","","","Note: Results per 1e+05 women"
"","","No screening","1.00 (1.00,1.00)","0.94 (0.89,0.98)","0.81 (0.74,0.89)","Note: Results per 1e+05 women"
"","","Screening","0.60 (0.51,0.69)","0.56 (0.48,0.65)","0.48 (0.39,0.57)","Note: Results per 1e+05 women"
"","ARRs within trials","","36.8 (27.4,49.0)","34.8 (25.5,45.0)","30.2 (21.5,38.5)","Note: Results per 1e+05 women"
"","ARRs across trials","","","","","Note: Results per 1e+05 women"
"","","No screening"," 0.0 ( 0.0, 0.0)"," 5.6 ( 1.5, 9.5)","17.0 (10.5,24.5)","Note: Results per 1e+05 women"
"","","Screening","36.8 (27.4,49.0)","40.3 (30.0,53.0)","47.2 (35.5,60.5)","Note: Results per 1e+05 women"
"","Years saved across trials","","","","","Note: Results per 1e+05 women"
"","","No screening","  0.0 (  0.0,  0.0)"," -9.3 (-14.7, -4.1)","-30.2 (-37.0,-23.8)","Note: Results per 1e+05 women"
"","","Screening","-65.7 ( -85.4,-48.4)","-71.6 ( -92.9,-52.1)","-84.5 (-107.2,-65.4)","Note: Results per 1e+05 women"
"10","Cumulative breast cancer mortality","","","","","Note: Results per 1e+05 women"
"","","No screening","311 (280,339)","296 (266,323)","265 (237,292)","Note: Results per 1e+05 women"
"","","Screening","194 (169,220)","184 (159,207)","161 (139,183)","Note: Results per 1e+05 women"
"","MRRs within trials","","0.62 (0.57,0.67)","0.62 (0.56,0.67)","0.61 (0.54,0.66)","Note: Results per 1e+05 women"
"","MRRs across trials","","","","","Note: Results per 1e+05 women"
"","","No screening","1.00 (1.00,1.00)","0.95 (0.93,0.98)","0.85 (0.81,0.89)","Note: Results per 1e+05 women"
"","","Screening","0.62 (0.57,0.67)","0.59 (0.53,0.64)","0.52 (0.47,0.58)","Note: Results per 1e+05 women"
"","ARRs within trials","","116.9 (99.0,139.0)","112.6 (94.0,134.5)","103.7 (86.0,126.6)","Note: Results per 1e+05 women"
"","ARRs across trials","","","","","Note: Results per 1e+05 women"
"","","No screening"," 0.0 ( 0.0, 0.0)","14.6 ( 7.5,22.0)","46.0 (32.5,62.5)","Note: Results per 1e+05 women"
"","","Screening","116.9 ( 99.0,139.0)","127.2 (107.5,150.6)","149.8 (128.5,177.6)","Note: Results per 1e+05 women"
"","Years saved across trials","","","","","Note: Results per 1e+05 women"
"","","No screening","   0.0 (   0.0,   0.0)"," -57.1 ( -77.8, -41.2)","-178.6 (-205.6,-155.0)","Note: Results per 1e+05 women"
"","","Screening","-425.6 (-505.7,-345.0)","-463.4 (-551.8,-383.7)","-544.9 (-639.3,-458.5)","Note: Results per 1e+05 women"
