"Group","Time","Trial","Treatment","Advanced_ER-","Advanced_ER+","Early_ER-","Early_ER+","Total","Note"
"Control",5,"withER","Chemo",0,NA,0,NA,0,"Numbers reflect population size of 100000 women"
"Control",5,"withER","None",350.03,0,61.93,0,411.96,""
"Control",5,"withER","Tamoxifen",0,148.42,0,27.38,175.8,""
"Control",5,"withERchemo","Chemo",350.03,NA,61.93,NA,411.96,""
"Control",5,"withERchemo","None",0,0,0,0,0,""
"Control",5,"withERchemo","Tamoxifen",0,148.42,0,27.38,175.8,""
"Control",5,"withoutER","Chemo",0,NA,0,NA,0,""
"Control",5,"withoutER","None",279.23,118.6,49.02,21.8,468.65,""
"Control",5,"withoutER","Tamoxifen",70.8,29.82,12.91,5.58,119.11,""
"Control",10,"withER","Chemo",0,NA,0,NA,0,""
"Control",10,"withER","None",671.2,0,118.22,0,789.42,""
"Control",10,"withER","Tamoxifen",0,289.74,0,51.07,340.81,""
"Control",10,"withERchemo","Chemo",671.2,NA,118.22,NA,789.42,""
"Control",10,"withERchemo","None",0,0,0,0,0,""
"Control",10,"withERchemo","Tamoxifen",0,289.74,0,51.07,340.81,""
"Control",10,"withoutER","Chemo",0,NA,0,NA,0,""
"Control",10,"withoutER","None",536.08,230.77,94.11,40.78,901.74,""
"Control",10,"withoutER","Tamoxifen",135.12,58.97,24.11,10.29,228.49,""
"Screen",5,"withER","Chemo",0,NA,0,NA,0,""
"Screen",5,"withER","None",350.03,0,61.93,0,411.96,""
"Screen",5,"withER","Tamoxifen",0,148.42,0,27.38,175.8,""
"Screen",5,"withERchemo","Chemo",350.03,NA,61.93,NA,411.96,""
"Screen",5,"withERchemo","None",0,0,0,0,0,""
"Screen",5,"withERchemo","Tamoxifen",0,148.42,0,27.38,175.8,""
"Screen",5,"withoutER","Chemo",0,NA,0,NA,0,""
"Screen",5,"withoutER","None",279.23,118.6,49.02,21.8,468.65,""
"Screen",5,"withoutER","Tamoxifen",70.8,29.82,12.91,5.58,119.11,""
"Screen",10,"withER","Chemo",0,NA,0,NA,0,""
"Screen",10,"withER","None",671.2,0,118.22,0,789.42,""
"Screen",10,"withER","Tamoxifen",0,289.74,0,51.07,340.81,""
"Screen",10,"withERchemo","Chemo",671.2,NA,118.22,NA,789.42,""
"Screen",10,"withERchemo","None",0,0,0,0,0,""
"Screen",10,"withERchemo","Tamoxifen",0,289.74,0,51.07,340.81,""
"Screen",10,"withoutER","Chemo",0,NA,0,NA,0,""
"Screen",10,"withoutER","None",536.08,230.77,94.11,40.78,901.74,""
"Screen",10,"withoutER","Tamoxifen",135.12,58.97,24.11,10.29,228.49,""
