"Follow-up","Measure","SubMeasure","Y1977","Y1999","Y2015"
"10","Cumulative breast cancer mortality","","","",""
"","","No screening","27 (26,29)","23 (22,24)","21 (20,22)"
"","","Screening","24 (23,26)","20 (20,21)","19 (18,20)"
"","MRRs within trials","","0.90 (0.90,0.90)","0.90 (0.90,0.91)","0.90 (0.90,0.91)"
"","MRRs across trials","","","",""
"","","No screening","1.00 (1.00,1.00)","0.84 (0.83,0.84)","0.77 (0.76,0.79)"
"","","Screening","0.90 (0.90,0.90)","0.76 (0.75,0.77)","0.70 (0.68,0.72)"
"","ARRs within trials","","2.7 (2.5,2.9)","2.3 (2.0,2.5)","2.0 (1.8,2.2)"
"","ARRs across trials","","","",""
"","","No screening","0.0 (0.0,0.0)","4.4 (4.0,4.8)","6.2 (5.4,6.9)"
"","","Screening","2.7 (2.5,2.9)","6.7 (6.0,7.3)","8.2 (7.2,9.1)"
"25","Cumulative breast cancer mortality","","","",""
"","","No screening","97 (97,98)","85 (84,86)","76 (76,77)"
"","","Screening","89 (88,89)","78 (77,79)","70 (70,70)"
"","MRRs within trials","","0.91 (0.91,0.91)","0.91 (0.91,0.91)","0.91 (0.91,0.91)"
"","MRRs across trials","","","",""
"","","No screening","1.00 (1.00,1.00)","0.87 (0.87,0.88)","0.79 (0.78,0.80)"
"","","Screening","0.91 (0.91,0.91)","0.80 (0.79,0.80)","0.72 (0.71,0.72)"
"","ARRs within trials","","8.7 (8.5,8.8)","7.4 (7.4,7.5)","6.9 (6.5,7.3)"
"","ARRs across trials","","","",""
"","","No screening"," 0.0 ( 0.0, 0.0)","12.2 (11.8,12.6)","20.8 (19.8,21.7)"
"","","Screening"," 8.7 ( 8.5, 8.8)","19.7 (19.2,20.1)","27.7 (27.0,28.3)"
