"Group","Time","Trial","Treatment","Advanced_ER-","Advanced_ER+","Early_ER-","Early_ER+","Total","Note"
"Control",5,"withER","Chemo",0,NA,0,NA,0,"Numbers reflect population size of 100000 women"
"Control",5,"withER","None",128.5,0,21,0,149.5,""
"Control",5,"withER","Tam+Chemo",NA,0,NA,NA,0,""
"Control",5,"withER","Tamoxifen",0,121,0,20,141,""
"Control",5,"withERchemo","Chemo",128.5,NA,21,NA,149.5,""
"Control",5,"withERchemo","None",0,0,0,0,0,""
"Control",5,"withERchemo","Tam+Chemo",NA,0,NA,NA,0,""
"Control",5,"withERchemo","Tamoxifen",0,121,0,20,141,""
"Control",5,"withERchemoERpos","Chemo",128.5,NA,21,NA,149.5,""
"Control",5,"withERchemoERpos","None",0,0,0,0,0,""
"Control",5,"withERchemoERpos","Tam+Chemo",NA,121,NA,NA,121,""
"Control",5,"withERchemoERpos","Tamoxifen",0,0,0,20,20,""
"Control",5,"withoutER","Chemo",0,NA,0,NA,0,""
"Control",5,"withoutER","None",101,96,16.5,14.5,228,""
"Control",5,"withoutER","Tam+Chemo",NA,0,NA,NA,0,""
"Control",5,"withoutER","Tamoxifen",27.5,25,4.5,5.5,62.5,""
"Control",10,"withER","Chemo",0,NA,0,NA,0,""
"Control",10,"withER","None",295.5,0,49,0,344.5,""
"Control",10,"withER","Tam+Chemo",NA,0,NA,NA,0,""
"Control",10,"withER","Tamoxifen",0,291.5,0,58,349.5,""
"Control",10,"withERchemo","Chemo",295.5,NA,49,NA,344.5,""
"Control",10,"withERchemo","None",0,0,0,0,0,""
"Control",10,"withERchemo","Tam+Chemo",NA,0,NA,NA,0,""
"Control",10,"withERchemo","Tamoxifen",0,291.5,0,58,349.5,""
"Control",10,"withERchemoERpos","Chemo",295.5,NA,49,NA,344.5,""
"Control",10,"withERchemoERpos","None",0,0,0,0,0,""
"Control",10,"withERchemoERpos","Tam+Chemo",NA,291.5,NA,NA,291.5,""
"Control",10,"withERchemoERpos","Tamoxifen",0,0,0,58,58,""
"Control",10,"withoutER","Chemo",0,NA,0,NA,0,""
"Control",10,"withoutER","None",230.5,233,39.5,44.5,547.5,""
"Control",10,"withoutER","Tam+Chemo",NA,0,NA,NA,0,""
"Control",10,"withoutER","Tamoxifen",65,58.5,9.5,13.5,146.5,""
"Screen",5,"withER","Chemo",0,NA,0,NA,0,""
"Screen",5,"withER","None",97.5,0,52,0,149.5,""
"Screen",5,"withER","Tam+Chemo",NA,0,NA,NA,0,""
"Screen",5,"withER","Tamoxifen",0,84.5,0,56.5,141,""
"Screen",5,"withERchemo","Chemo",97.5,NA,52,NA,149.5,""
"Screen",5,"withERchemo","None",0,0,0,0,0,""
"Screen",5,"withERchemo","Tam+Chemo",NA,0,NA,NA,0,""
"Screen",5,"withERchemo","Tamoxifen",0,84.5,0,56.5,141,""
"Screen",5,"withERchemoERpos","Chemo",97.5,NA,52,NA,149.5,""
"Screen",5,"withERchemoERpos","None",0,0,0,0,0,""
"Screen",5,"withERchemoERpos","Tam+Chemo",NA,84.5,NA,NA,84.5,""
"Screen",5,"withERchemoERpos","Tamoxifen",0,0,0,56.5,56.5,""
"Screen",5,"withoutER","Chemo",0,NA,0,NA,0,""
"Screen",5,"withoutER","None",78.5,66.5,41,42,228,""
"Screen",5,"withoutER","Tam+Chemo",NA,0,NA,NA,0,""
"Screen",5,"withoutER","Tamoxifen",19,18,11,14.5,62.5,""
"Screen",10,"withER","Chemo",0,NA,0,NA,0,""
"Screen",10,"withER","None",212.5,0,132,0,344.5,""
"Screen",10,"withER","Tam+Chemo",NA,0,NA,NA,0,""
"Screen",10,"withER","Tamoxifen",0,202,0,147.5,349.5,""
"Screen",10,"withERchemo","Chemo",212.5,NA,132,NA,344.5,""
"Screen",10,"withERchemo","None",0,0,0,0,0,""
"Screen",10,"withERchemo","Tam+Chemo",NA,0,NA,NA,0,""
"Screen",10,"withERchemo","Tamoxifen",0,202,0,147.5,349.5,""
"Screen",10,"withERchemoERpos","Chemo",212.5,NA,132,NA,344.5,""
"Screen",10,"withERchemoERpos","None",0,0,0,0,0,""
"Screen",10,"withERchemoERpos","Tam+Chemo",NA,202,NA,NA,202,""
"Screen",10,"withERchemoERpos","Tamoxifen",0,0,0,147.5,147.5,""
"Screen",10,"withoutER","Chemo",0,NA,0,NA,0,""
"Screen",10,"withoutER","None",167,159,106,112.5,544.5,""
"Screen",10,"withoutER","Tam+Chemo",NA,0,NA,NA,0,""
"Screen",10,"withoutER","Tamoxifen",45.5,43,26,35,149.5,""
