"Follow-up","Measure","SubMeasure","withoutER","withER"
"10","Cumulative breast cancer mortality","","",""
"","","No screening","25 (23,27)","25 (23,26)"
"","","Screening","25 (23,27)","25 (23,26)"
"","MRRs within trials","","1.00 (1.00,1.00)","1.00 (1.00,1.00)"
"","MRRs across trials","","",""
"","","No screening","1.00 (1.00,1.00)","0.99 (0.98,1.00)"
"","","Screening","1.00 (1.00,1.00)","0.99 (0.98,1.00)"
"","ARRs within trials","","0.0 (0.0,0.0)","0.0 (0.0,0.0)"
"","ARRs across trials","","",""
"","","No screening","0.0 (0.0,0.0)","0.2 (0.1,0.5)"
"","","Screening","0.0 (0.0,0.0)","0.2 (0.1,0.5)"
"25","Cumulative breast cancer mortality","","",""
"","","No screening","106 (102,112)","106 (101,112)"
"","","Screening","106 (102,112)","106 (101,112)"
"","MRRs within trials","","1.00 (1.00,1.00)","1.00 (1.00,1.00)"
"","MRRs across trials","","",""
"","","No screening","1.00 (1.00,1.00)","0.99 (0.99,1.00)"
"","","Screening","1.00 (1.00,1.00)","0.99 (0.99,1.00)"
"","ARRs within trials","","0.0 (0.0,0.0)","0.0 (0.0,0.0)"
"","ARRs across trials","","",""
"","","No screening","0.0 (0.0,0.0)","0.6 (0.2,0.9)"
"","","Screening","0.0 (0.0,0.0)","0.6 (0.2,0.9)"
